20,Bread coarse,"Brown bread, wholemeal bread",1.47,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
21,Bread fine,White bread,2,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
22,Rye bread,,1.2,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
23,Oatmeal,Oats,1.2,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
24,Potatoes,,0.69,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
25,Pasta,,2.57,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
26,Rice,,4.99,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
27,Cod,,5.02,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
28,Herring,,1.65,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
29,Eggs,,2.21,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
30,Olive oil,,2.29,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
31,Corn oil,Vegetable oil,2.29,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
32,Margarine 60% fat,Margarine,1.75,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
33,Milk 0.5% fat,Skimmed milk,1.17,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
34,Skim milk,Skimmed milk,1.17,Denmark,Greenhouse gas emissions of realistic dietary choices in Denmark: the carbon footprint and nutritional value of dairy products,"Louise Bruun Werner, Anna Flysjö & Tine Tholstrup 2014",Taylor & Francis Group,https://www.tandfonline.com/doi/pdf/10.3402/fnr.v58.20687
